sample_index,real_time_s,raw_adc,amplitude
550,20:40:16.048,3780,0.8462
551,20:40:16.048,3781,0.8466
552,20:40:16.049,3780,0.8462
553,20:40:16.049,3767,0.8398
554,20:40:16.050,3786,0.8491
555,20:40:16.050,3788,0.8501
556,20:40:16.051,3776,0.8442
557,20:40:16.051,3776,0.8442
558,20:40:16.052,3784,0.8481
559,20:40:16.052,3800,0.8559
560,20:40:16.053,3800,0.8559
561,20:40:16.053,3796,0.8540
562,20:40:16.054,3797,0.8545
563,20:40:16.054,3811,0.8613
564,20:40:16.055,3782,0.8471
565,20:40:16.055,3814,0.8628
566,20:40:16.056,3810,0.8608
567,20:40:16.056,3813,0.8623
568,20:40:16.057,3822,0.8667
569,20:40:16.057,3818,0.8647
570,20:40:16.058,3812,0.8618
571,20:40:16.058,3814,0.8628
572,20:40:16.059,3819,0.8652
573,20:40:16.059,3819,0.8652
574,20:40:16.060,3814,0.8628
575,20:40:16.060,3793,0.8525
576,20:40:16.061,3806,0.8589
577,20:40:16.061,3808,0.8598
578,20:40:16.062,3806,0.8589
579,20:40:16.062,3796,0.8540
580,20:40:16.063,3800,0.8559
581,20:40:16.063,3801,0.8564
582,20:40:16.064,3795,0.8535
583,20:40:16.064,3792,0.8520
584,20:40:16.065,3802,0.8569
585,20:40:16.065,3780,0.8462
586,20:40:16.066,3766,0.8393
587,20:40:16.066,3780,0.8462
588,20:40:16.067,3777,0.8447
589,20:40:16.067,3772,0.8422
590,20:40:16.068,3778,0.8452
591,20:40:16.068,3776,0.8442
592,20:40:16.069,3776,0.8442
593,20:40:16.069,3775,0.8437
594,20:40:16.070,3779,0.8457
595,20:40:16.070,3782,0.8471
596,20:40:16.071,3785,0.8486
597,20:40:16.071,3788,0.8501
598,20:40:16.072,3789,0.8505
599,20:40:16.072,3787,0.8496
600,20:40:16.073,3799,0.8554
601,20:40:16.073,3797,0.8545
602,20:40:16.074,3801,0.8564
603,20:40:16.074,3796,0.8540
604,20:40:16.075,3799,0.8554
605,20:40:16.075,3821,0.8662
606,20:40:16.076,3821,0.8662
607,20:40:16.076,3818,0.8647
608,20:40:16.077,3819,0.8652
609,20:40:16.077,3815,0.8632
610,20:40:16.078,3821,0.8662
611,20:40:16.078,3821,0.8662
612,20:40:16.079,3817,0.8642
613,20:40:16.079,3815,0.8632
614,20:40:16.080,3809,0.8603
615,20:40:16.080,3814,0.8628
616,20:40:16.081,3811,0.8613
617,20:40:16.081,3777,0.8447
618,20:40:16.082,3805,0.8584
619,20:40:16.082,3805,0.8584
620,20:40:16.083,3787,0.8496
621,20:40:16.083,3791,0.8515
622,20:40:16.084,3801,0.8564
623,20:40:16.084,3801,0.8564
624,20:40:16.085,3803,0.8574
625,20:40:16.085,3779,0.8457
626,20:40:16.086,3788,0.8501
627,20:40:16.086,3781,0.8466
628,20:40:16.087,3780,0.8462
629,20:40:16.087,3786,0.8491
630,20:40:16.088,3779,0.8457
631,20:40:16.088,3780,0.8462
632,20:40:16.089,3781,0.8466
633,20:40:16.089,3784,0.8481
634,20:40:16.090,3778,0.8452
635,20:40:16.090,3772,0.8422
636,20:40:16.091,3776,0.8442
637,20:40:16.091,3781,0.8466
638,20:40:16.092,3792,0.8520
639,20:40:16.092,3786,0.8491
640,20:40:16.093,3789,0.8505
641,20:40:16.093,3806,0.8589
642,20:40:16.094,3794,0.8530
643,20:40:16.094,3806,0.8589
644,20:40:16.095,3802,0.8569
645,20:40:16.095,3825,0.8681
646,20:40:16.096,3817,0.8642
647,20:40:16.096,3820,0.8657
648,20:40:16.097,3813,0.8623
649,20:40:16.097,3817,0.8642
650,20:40:16.098,3817,0.8642
651,20:40:16.098,3816,0.8637
652,20:40:16.099,3816,0.8637
653,20:40:16.099,3814,0.8628
654,20:40:16.100,3811,0.8613
655,20:40:16.100,3809,0.8603
656,20:40:16.101,3814,0.8628
657,20:40:16.101,3816,0.8637
658,20:40:16.102,3800,0.8559
659,20:40:16.102,3798,0.8549
660,20:40:16.103,3804,0.8579
661,20:40:16.103,3791,0.8515
662,20:40:16.104,3770,0.8413
663,20:40:16.104,3783,0.8476
664,20:40:16.105,3795,0.8535
665,20:40:16.105,3775,0.8437
666,20:40:16.106,3786,0.8491
667,20:40:16.106,3777,0.8447
668,20:40:16.107,3778,0.8452
669,20:40:16.107,3781,0.8466
670,20:40:16.108,3778,0.8452
671,20:40:16.108,3779,0.8457
672,20:40:16.109,3776,0.8442
673,20:40:16.109,3778,0.8452
674,20:40:16.110,3779,0.8457
675,20:40:16.110,3772,0.8422
676,20:40:16.111,3787,0.8496
677,20:40:16.111,3779,0.8457
678,20:40:16.112,3788,0.8501
679,20:40:16.112,3787,0.8496
680,20:40:16.113,3800,0.8559
681,20:40:16.113,3806,0.8589
682,20:40:16.114,3788,0.8501
683,20:40:16.114,3806,0.8589
684,20:40:16.115,3814,0.8628
685,20:40:16.115,3821,0.8662
686,20:40:16.116,3812,0.8618
687,20:40:16.116,3818,0.8647
688,20:40:16.117,3821,0.8662
689,20:40:16.117,3819,0.8652
690,20:40:16.118,3822,0.8667
691,20:40:16.118,3813,0.8623
692,20:40:16.119,3814,0.8628
693,20:40:16.119,3812,0.8618
694,20:40:16.120,3800,0.8559
695,20:40:16.120,3810,0.8608
696,20:40:16.121,3804,0.8579
697,20:40:16.121,3819,0.8652
698,20:40:16.122,3807,0.8593
699,20:40:16.122,3816,0.8637
700,20:40:16.123,3791,0.8515
701,20:40:16.123,3800,0.8559
702,20:40:16.124,3794,0.8530
703,20:40:16.124,3802,0.8569
704,20:40:16.125,3798,0.8549
705,20:40:16.125,3780,0.8462
706,20:40:16.126,3786,0.8491
707,20:40:16.126,3784,0.8481
708,20:40:16.127,3783,0.8476
709,20:40:16.127,3777,0.8447
710,20:40:16.128,3776,0.8442
711,20:40:16.128,3782,0.8471
712,20:40:16.129,3789,0.8505
713,20:40:16.129,3776,0.8442
714,20:40:16.130,3784,0.8481
715,20:40:16.130,3751,0.8320
716,20:40:16.131,3781,0.8466
717,20:40:16.131,3791,0.8515
718,20:40:16.132,3794,0.8530
719,20:40:16.132,3797,0.8545
720,20:40:16.133,3801,0.8564
721,20:40:16.133,3792,0.8520
722,20:40:16.134,3803,0.8574
723,20:40:16.134,2894,0.4134
724,20:40:16.135,3086,0.5072
725,20:40:16.135,2992,0.4613
726,20:40:16.136,2981,0.4559
727,20:40:16.136,2978,0.4545
728,20:40:16.137,2988,0.4593
729,20:40:16.137,3034,0.4818
730,20:40:16.138,3055,0.4921
731,20:40:16.138,3101,0.5145
732,20:40:16.139,3078,0.5033
733,20:40:16.139,3105,0.5165
734,20:40:16.140,3104,0.5160
735,20:40:16.140,3123,0.5253
736,20:40:16.141,3160,0.5433
737,20:40:16.141,3165,0.5458
738,20:40:16.142,3166,0.5463
739,20:40:16.142,3170,0.5482
740,20:40:16.143,3161,0.5438
741,20:40:16.143,3107,0.5175
742,20:40:16.144,3190,0.5580
743,20:40:16.144,3166,0.5463
744,20:40:16.145,3104,0.5160
745,20:40:16.145,3167,0.5468
746,20:40:16.146,3168,0.5473
747,20:40:16.146,3120,0.5238
748,20:40:16.147,3175,0.5507
749,20:40:16.147,3180,0.5531
750,20:40:16.148,3187,0.5565
751,20:40:16.148,3204,0.5648
752,20:40:16.149,3186,0.5560
753,20:40:16.149,3147,0.5370
754,20:40:16.150,3124,0.5258
755,20:40:16.150,3231,0.5780
756,20:40:16.151,3153,0.5399
757,20:40:16.151,3179,0.5526
758,20:40:16.152,3218,0.5717
759,20:40:16.152,3229,0.5770
760,20:40:16.153,3130,0.5287
761,20:40:16.153,2857,0.3954
762,20:40:16.154,3224,0.5746
763,20:40:16.154,3461,0.6904
764,20:40:16.155,3166,0.5463
765,20:40:16.155,2991,0.4608
766,20:40:16.156,3212,0.5687
767,20:40:16.156,3205,0.5653
768,20:40:16.157,3170,0.5482
769,20:40:16.157,3173,0.5497
770,20:40:16.158,3202,0.5639
771,20:40:16.158,3191,0.5585
